|player_id|player_name|player_preferred_position|player_preferred_number|player_minutes|wavg_player_rating|offsides|shots_total|shots_on_goal|goals_total|goals_conceded|goals_assists|goals_saves|passes_total|passes_key|passes_completed|tackles_total|tackles_blocks|tackles_interceptions|tackles_total_padj|tackles_blocks_padj|tackles_interceptions_padj|duels_total|duels_won|dribbles_attemps|dribbles_success|dribbles_past|dribbles_past_padj|fouls_drawn|fouls_committed|fouls_committed_padj|cards_yellow|cards_red|penalty_won|penalty_committed|penalty_scored|penalty_missed|penalty_saved
2569|11866|Gabriel Rojas|F|6|377|6.83236074270557|0|3|1|0|0|1|0|110|5|3.62|12|0|4|12.977600339074677|0.0|4.5976345083487935|37|22|3|2|3|4.050711193568336|2|9|9.787962718664009|1|0|0|0|0|0|0
2570|11867|Juan Soto|D|27|929|6.545602605863192|0|4|1|0|0|0|0|248|4|113.69000000000001|20|4|29|19.7958618409765|3.9493094789704957|28.553814231004363|33|16|4|4|16|16.260990916011703|7|21|20.46734012236091|3|0|0|2|0|0|0
2571|11868|Alexis Valencia|F|29|20|6.4|0|1|1|0|0|0|0|7|0|0.4|0|0|0|0.0|0.0|0.0|2|1|0|0|1|1.1363636363636365|0|0|0.0|0|0|0|0|0|0|0
2572|11871|Claudio Gonzales|G|17|1445|7.0314878892733566|0|0|0|0|25|0|69|243|1|153.14|2|0|1|2.6334026334026333|0.0|1.25|21|19|0|0|1|1.0638297872340425|4|0|0.0|1|0|0|0|0|0|0
2573|11875|Michael Contreras|D|17|750|6.811866666666667|1|3|1|0|0|2|0|237|6|14.510000000000002|19|0|19|20.69624304245821|0.0|22.211490754093667|81|45|11|7|7|8.15337393303495|10|19|21.654560339288484|3|0|0|0|0|0|0
2574|11877|Esteban Flores|D|17|2|-1.0|0|0|0|0|0|0|0|1|0|0.1|0|0|0|0.0|0.0|0.0|1|0|0|0|0|0.0|0|0|0.0|0|0|0|0|0|0|0
2575|11883|Juan Pablo Abarzua|M|19|603|6.973963515754559|1|9|3|1|0|2|0|201|7|75.92999999999999|11|0|6|13.628556221233566|0.0|6.261253975697601|49|23|7|5|3|3.4897025171624714|23|18|25.170181884528233|3|0|2|0|0|0|0
2576|11892|Ignacio Jara|M|30|423|6.734988179669031|0|10|8|2|0|3|0|111|7|3.8400000000000003|4|1|2|4.223741621869538|0.9259259259259258|2.145438121047877|69|25|9|4|6|6.17007571106077|13|12|14.514322543503727|1|0|0|0|0|0|0
2577|11900|Gonzalo Aban|F|18|2335|7.071734475374733|0|44|13|5|0|5|0|426|46|277.44|29|2|28|34.574517798924475|2.7046783625730995|35.297132151281986|406|179|57|24|36|46.85969512490269|51|52|61.435214606176196|6|0|1|0|0|0|0
2578|11911|Mario Briceno|M|19|150|6.348|0|3|1|0|0|0|0|31|4|24.229999999999997|1|0|1|1.1111111111111112|0.0|1.0638297872340425|25|9|7|5|4|4.7948260481712754|2|3|3.6954087346024638|1|0|0|0|0|0|0
2579|11912|Hardy Cavero Vargas|D|18|970|6.625180598555213|0|2|2|0|0|0|0|279|4|75.59|26|5|32|30.815428035536733|6.476653283718501|40.02747974544313|63|32|9|6|11|13.067643651652494|5|17|18.876940656371385|2|0|0|0|0|0|0
2580|11915|Joaquin Pereyra|D|3|752|6.8619680851063825|0|0|0|0|0|1|0|180|1|126.44|18|4|26|21.31172934133631|4.697232420636675|30.273096372785133|72|44|2|1|7|8.104525162294742|3|8|8.850709006112469|2|0|0|0|0|0|0
2581|11917|Bayron Saavedra|D|26|0||0|0|0|0|0|0|0|0|0|0.0|0|0|0|0.0|0.0|0.0|0|0|0|0|0|0.0|0|0|0.0|0|0|0|0|0|0|0
2582|11918|Henry Sanhueza|D|21|1064|6.881190926275993|0|5|5|1|0|1|0|324|4|37.599999999999994|25|3|15|25.342605513962447|3.1920077972709553|16.044205991014504|63|31|3|1|13|12.18138834471321|4|10|10.23464346318572|3|0|0|0|0|0|0
2583|11919|Francisco Tapia|D|28|0||0|0|0|0|0|0|0|0|0|0.0|0|0|0|0.0|0.0|0.0|0|0|0|0|0|0.0|0|0|0.0|0|0|0|0|0|0|0
2584|11939|Juan Ignacio Duma|F|30|40|6.279999999999999|0|0|0|0|0|0|0|7|0|3.34|0|0|0|0.0|0.0|0.0|3|2|0|0|0|0.0|1|0|0.0|0|0|0|0|0|0|0
2585|11941|Bayron Oyarzo|F|11|714|6.773529411764705|0|9|6|1|0|1|0|173|9|6.369999999999999|19|0|7|21.129176080523735|0.0|7.28765264402277|126|51|42|18|12|11.971553231473475|17|9|8.85300463367595|3|0|0|0|0|0|0
2586|11945|Leandro Gelpi|G|23|1160|6.769827586206897|0|0|0|0|19|0|34|156|1|99.02|0|0|0|0.0|0.0|0.0|6|5|0|0|0|0.0|2|0|0.0|1|0|0|0|0|0|1
